"[ELEMENT]","[PROFESSION_STYLE]","[TOP_ITEM]","[ELEMENT_EFFECTS]","[BODY_COLOR]","[FACIAL_FEATURES]","[SIDE_DETAILS]"
"Mountain Dew & Doritos","Jedi Knight","Sorting Hat","Floating Matrix code","Vantablack","Terminator glowing red eye","Holding a lightsaber"
"Vaporwave aesthetics","Tired IT support","Tinfoil hat","Comic ""BAM!"" & ""POW!""","Chrome mirror finish","Lenny face ( 汀掳 蜏蕱 汀掳)","Infinity Gauntlet"
"Crypto blockchain","Witcher","Traffic cone","Binary code rain","Gameboy clear purple","Trollface smile","Holding a red crowbar"
"Pure caffeine","Fast food worker","Propeller beanie","Wi-Fi disconnecting icons","Carbon fiber","Anime star eyes","""This is fine"" coffee cup"
"Dark matter","Magical Girl","VR headset","Cascading emojis (馃槀馃敟馃拃)","Holographic foil","""Deal With It"" pixel glasses","Carrying a retro boombox"
"Glitchy pixels","Cyberpunk netrunner","Master Chief helmet","Swirling pocket galaxy","Blue screen of death (BSOD)","Realistic human lips","Smartphone recording TikTok"
"Dubstep bass drops","Twitch streamer","Brain slug","Glitching textures","Galaxy print","Shocked Pikachu open mouth","Robotic cyberpunk arm"
"Toxic internet arguments","Plague doctor","Cardboard box","Holographic loading circle","Hazard stripes","Cute UwU face","Tentacles emerging"
"Wi-Fi signal","Space Marine","Glowing halo","Floating musical equalizers","Rusted corrugated metal","Resting bitch face","Slice of pepperoni pizza"
"Quantum foam","Gym bro","Cyberpunk visor","Toxic green fumes","Flesh-toned (cursed)","Gas mask filter mouth","Barcode tattoo"
"Cursed energy","Matrix hacker","Sombrero","Glittering gold coins","Pastel goth purple","Single giant cyclops eye","Holding a BFG 9000"
"Synthwave neon","Mad Max raider","Witch hat with a belt","Laser beams","8-bit pixelated texture","Stitched voodoo mouth","Tiny fairy companion"
"Radiation","Victorian vampire","Paper boat","Dark smoke & red eyes","Denim fabric","Monocle & curly mustache","Holding a portal gun"
"Cherry blossom","Ghostbuster","Crown of floating eyes","Rainbow Nyan Cat trail","Gold leaf","Glowing neon ""X X"" eyes","Wearing a fanny pack"
"Holy light","Maid cafe waitress","Chef's toque","Floating 3D geometric shapes","Kintsugi cracked porcelain","Sad cat teary eyes","Bandolier of health potions"
